filename,latitude,longitude,geometry,esa_code_mode,label,label_flag,label_confidence,valid_pixels_in_patch,counts,label_id
28.8591_77.2558.png,28.8591,77.2558,POINT (77.2558 28.8591),50,Built-up,confident,0.8751220703125,16384,"{10: 399, 20: 114, 30: 245, 40: 1272, 50: 14338, 60: 16}",1
28.2266_77.1058.png,28.2266,77.1058,POINT (77.1058 28.2266),40,Cropland,confident,0.8150634765625,16384,"{10: 2764, 30: 196, 40: 13354, 50: 70}",2
28.3590_77.3409.png,28.359,77.3409,POINT (77.3409 28.359),50,Built-up,confident,0.55877685546875,16384,"{10: 2343, 20: 199, 30: 1799, 40: 2645, 50: 9155, 60: 226, 80: 17}",1
28.7178_77.2822.png,28.7178,77.2822,POINT (77.2822 28.7178),50,Built-up,mixed,0.43023681640625,16384,"{10: 4268, 20: 226, 30: 806, 40: 3323, 50: 7049, 60: 712}",1
28.7056_76.9822.png,28.7056,76.9822,POINT (76.9822 28.7056),50,Built-up,mixed,0.45068359375,16384,"{10: 476, 20: 451, 30: 2416, 40: 4385, 50: 7384, 60: 1091, 80: 181}",1
28.5179_77.3321.png,28.5179,77.3321,POINT (77.3321 28.5179),40,Cropland,mixed,0.369873046875,16384,"{10: 2438, 20: 335, 30: 4178, 40: 6060, 50: 2839, 60: 532, 80: 2}",2
28.8855_77.5821.png,28.8855,77.5821,POINT (77.5821 28.8855),40,Cropland,confident,0.92523193359375,16384,"{10: 278, 20: 12, 30: 473, 40: 15159, 50: 424, 60: 35, 80: 3}",2
28.5179_76.8646.png,28.5179,76.8646,POINT (76.8646 28.5179),40,Cropland,confident,0.93719482421875,16384,"{10: 764, 20: 6, 30: 189, 40: 15355, 50: 70}",2
28.7943_76.8910.png,28.7943,76.891,POINT (76.891 28.7943),40,Cropland,confident,0.54376220703125,16384,"{10: 157, 20: 297, 30: 5504, 40: 8909, 50: 1411, 60: 106}",2
28.4090_77.0557.png,28.409,77.0557,POINT (77.0557 28.409),40,Cropland,confident,0.80865478515625,16384,"{10: 747, 20: 14, 30: 947, 40: 13249, 50: 1360, 60: 67}",2
28.4057_77.2558.png,28.4057,77.2558,POINT (77.2558 28.4057),50,Built-up,confident,0.568359375,16384,"{10: 663, 20: 59, 30: 2862, 40: 1873, 50: 9312, 60: 1554, 80: 61}",1
28.9942_77.1322.png,28.9942,77.1322,POINT (77.1322 28.9942),40,Cropland,confident,0.9798583984375,16384,"{10: 250, 20: 66, 30: 5, 40: 16054, 60: 8, 90: 1}",2
28.2178_77.1943.png,28.2178,77.1943,POINT (77.1943 28.2178),40,Cropland,confident,0.9576416015625,16384,"{10: 2, 30: 692, 40: 15690}",2
28.3590_77.2444.png,28.359,77.2444,POINT (77.2444 28.359),50,Built-up,mixed,0.44866943359375,16384,"{10: 692, 20: 34, 30: 4182, 40: 2017, 50: 7351, 60: 2101, 80: 7}",1
