filename,latitude,longitude,esa_class,label,class_id,class_count
28.2056_76.8558.png,28.2056,76.8558,50,Built-up,4,6614
28.2056_76.8646.png,28.2056,76.8646,40,Cropland,3,6375
28.2056_76.8734.png,28.2056,76.8734,40,Cropland,3,7667
28.2056_76.8822.png,28.2056,76.8822,40,Cropland,3,5891
28.2056_76.8910.png,28.2056,76.891,40,Cropland,3,7148
28.2056_76.8943.png,28.2056,76.8943,40,Cropland,3,8179
28.2056_76.9057.png,28.2056,76.9057,50,Built-up,4,6582
28.2056_76.9145.png,28.2056,76.9145,40,Cropland,3,8593
28.2056_76.9233.png,28.2056,76.9233,50,Built-up,4,8310
28.2056_76.9321.png,28.2056,76.9321,50,Built-up,4,8943
28.2056_76.9409.png,28.2056,76.9409,40,Cropland,3,9187
28.2056_76.9443.png,28.2056,76.9443,40,Cropland,3,10762
28.2056_76.9558.png,28.2056,76.9558,40,Cropland,3,12480
28.2056_76.9646.png,28.2056,76.9646,40,Cropland,3,14574
28.2056_76.9734.png,28.2056,76.9734,40,Cropland,3,14334
28.2056_76.9822.png,28.2056,76.9822,40,Cropland,3,8962
28.2056_76.9910.png,28.2056,76.991,40,Cropland,3,12454
28.2056_76.9944.png,28.2056,76.9944,40,Cropland,3,13551
28.2056_77.0058.png,28.2056,77.0058,40,Cropland,3,13501
28.2056_77.0146.png,28.2056,77.0146,40,Cropland,3,11959
28.2056_77.0234.png,28.2056,77.0234,40,Cropland,3,11911
28.2056_77.0322.png,28.2056,77.0322,40,Cropland,3,12359
28.2056_77.0410.png,28.2056,77.041,40,Cropland,3,12039
28.2056_77.0443.png,28.2056,77.0443,40,Cropland,3,11031
28.2056_77.0557.png,28.2056,77.0557,40,Cropland,3,14538
28.2056_77.0645.png,28.2056,77.0645,40,Cropland,3,12648
28.2056_77.0733.png,28.2056,77.0733,40,Cropland,3,12752
28.2056_77.0821.png,28.2056,77.0821,40,Cropland,3,15290
28.2056_77.0909.png,28.2056,77.0909,40,Cropland,3,13632
28.2056_77.0944.png,28.2056,77.0944,40,Cropland,3,13386
28.2056_77.1058.png,28.2056,77.1058,40,Cropland,3,14742
28.2056_77.1146.png,28.2056,77.1146,40,Cropland,3,13532
28.2056_77.1234.png,28.2056,77.1234,40,Cropland,3,13159
28.2056_77.1322.png,28.2056,77.1322,40,Cropland,3,6409
28.2056_77.1410.png,28.2056,77.141,50,Built-up,4,9386
28.2056_77.1443.png,28.2056,77.1443,50,Built-up,4,11024
